Region,Quest Name,Steps to Complete,Rewards
Natlan,A Saurian Lover's Ordinary Days,6,"Primogem x 30
Mora x 37,000
Recipe: Sour Sauce Kipper x 1"
Natlan,Beneath The Crystal Rock,19,"Primogem x 50
Hero's Wit x 5
Mora x 34,000
Mystic Enhancement Ore x 4"
Natlan,Gifts and Gifts in Return,7,No rewards found
Natlan,Peace To The SlumberingBeneath The Crystal Rock,8,"Primogem x 40
Hero's Wit x 2
Mora x 23,500
Mystic Enhancement Ore x 2"
Natlan,Ripe For Trouble,10,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 3
Mora x 10,000"
Natlan,Seeker No FindingTracer No Tracing,8,"Primogem x 40
Hero's Wit x 2
Mora x 33,000
Mystic Enhancement Ore x 3
Iridescent Inscription Fragment x 1"
Natlan,Tepetlisaurus Hide-and-Seek,3,"Primogem x 20
Mora x 26,500"
Natlan,"To The Night, What Is The Night'sCourier's Trial Keystone",6,"Primogem x 30
Hero's Wit x 2
Mora x 22,500
Mystic Enhancement Ore x 3
Shattered Night Jade x 1"
Natlan,Tracer No Tracing,8,"Primogem x 30
Hero's Wit x 2
Mora x 22,500
Mystic Enhancement Ore x 3"
Natlan,Waiting For Seeds to Sprout,4,"Primogem x 30
Mora x 37,000"
Natlan,Weighty Wings,5,"Primogem x 30
Mora x 37,000"
Natlan,"A Prayer For Blessings, Told To Crested Peaks",0,No rewards found
Natlan,Avant-Garde Graffiti Visionary!Chapter 5 Act 2,0,No rewards found
Natlan,Between Pledge And ForgettanceLost In The Woods,26,"Primogem x 100
Mora x 118,000
Mystic Enhancement Ore x 4
The Cornerstone of Stars and Flames x 1"
Natlan,Feeling Like Fish Today!,2,"Primogem x 20
Mora x 26,500"
Natlan,"In the Footsteps Of The Chosen Of DragonsLights, Kamera, Action!A Saurian Lover's Ordinary DaysTepetlisaurus Hide-and-SeekWeighty WingsGifts and Gifts in ReturnWaiting For Seeds to SproutTreasures And CollectorsSpecial FriendsFeeling Like Fish Today!Lies And Promises Quest",10,No rewards found
Natlan,Lies And Promises,4,"Primogem x 20
Mora x 26,500"
Natlan,"Lights, Kamera, Action!",4,"Primogem x 20
Mighty Meaty Fireball x 1
Mora x 26,500"
Natlan,Lost In The Woods,6,"Primogem x 20
Mora x 26,500
Reaffirmed Accord of Appelation"
Natlan,Revelations From The PastRite Of The Bold,14,"Primogem x 50
The Cornerstone of Stars and Flames x 1
Mystic Enhancement Ore x 4
Mora x 54,500"
Natlan,Rite Of The BoldLost In The Woods,3,"Primogem x 30
Mora x 37,000
Talisman of Waxaklahun Ubah Kah x 1"
Natlan,Shadows Of The MountainsBeneath The Crystal Rock,2,No rewards found
Natlan,Special Friends,5,"Primogem x 20
Mora x 26,500"
Natlan,"Stride On Rainbows, Split The Waves",6,"Primogem x 40
Hero's Wit x 2
Mora x 33,000
Mystic Enhancement Ore x 3"
Natlan,Tale Of Dreams Plucked From FireTracer No Tracing,2,No rewards found
Natlan,The Case Of The Crafting Bench,20,"Primogem x 30
Hero's Wit x 2
Mora x 22,500
Mystic Enhancement Ore x 3"
Natlan,To Wish Upon A Star,5,"Primogem x 20
Mora x 26,500"
Natlan,Toward Red-Hot Adventure!Chapter 5 Act 1 Archon Quest,1,"Mora x 21,500
Adventurer's Experience x 4"
Natlan,Treasures And Collectors,10,"Primogem x 30
Mora x 37,000"
Fontaine,A Certain NoticeAs Light Rain Falls Without Reason,4,"Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 21,500"
Fontaine,A Certain StampA Certain Trifle Quest,4,"Hero's Wit x 3
Mora x 21,500"
Fontaine,A Certain TrifleA Certain Notice Quest,6,"Hero's Wit x 3
Mora x 21,500"
Fontaine,"A LetterA Certain NoticeA Certain TrifleA Certain StampFontaine Research Institute, Stagnating In The Rubble",7,"Adventure EXP x150
Hero's Wit x3
Mora x 30,000"
Fontaine,Ann's Story,23,"Adventure EXP x 450
Primogems x 50
Hero's Wit x 5
Mystic Enhancement Ore x 4
Mora x 50,000"
Fontaine,Another Horizon Of AdventurePrelude Of Blancheur And NoirceurAs Light Rain Falls Without Reason,3,"Adventure EXP x 150
Adventurer's Experience x4
Mora x20,000"
Fontaine,Aqueous Tidemarks,19,"Adventure EXP x 500
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 5
Mora x 30,000"
Fontaine,Both Brains and BrawnUnfinished Comedy Quest Chain,15,"Primogems x 50
Hero's Wit x 5
Prankation Fonta Cup
Mora x 34,000
Credit Coupons x900
Mystic Enhancement Ore x3"
Fontaine,Canticles of Harmony,32,"Primogem x 30
Mora x 37,000
Ancient Autoharmonic Music Box
Primogem x 30
Hero's Wit x 2
Mora x 32,500
Primogem x 30
Hero's Wit x 2
Mora x 32,500
Primogem x 30
Hero's Wit x 2
Mora x 32,500
Mystic Enhancement Ore x 3
Primogem x 40
Hero's Wit x 4
Mora x 33,500
Mystic Enhancement Ore x 4"
Fontaine,Danger Lurks Everywhere in FontaineAs Light Rain Falls Without Reason,5,"Hero's Wit x 3
Mora x 21,500"
Fontaine,Daydreams Beyond Space And TimeWhere His Life Lies,4,"Adventure EXP x 150
Hero's Wit x 3
Mora x 20,000"
Fontaine,"Echoes of the Ancient WorldLimner, Dreamer, and Robotic Dog Quest",12,"Primogems x30
Hero's Wit x2
Mora x22,500
Mystic Enhancement Ore x3
Strange Part x1"
Fontaine,Fishing Game,3,"Adventure EXP x 600
Primogems x 20
Mora x 25,000
Strange Part x 1"
Fontaine,"Fontaine Research Institute, Stagnating In The Rubble",30,"Adventure EXP x 500
Primogems x 60
Hero's Wit x 5
Mystic Enhancement Ore x 6
Mora x 50,000
Honorary Senior Researcher Award (Furnishing) x1"
Fontaine,"Hey, This Isn't Pumpkin Soup...A Brush Of Seafoam and Crimson",4,"Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 23,000"
Fontaine,In Search of Lost Time,40,No rewards found
Fontaine,Latecoming HomecomingCanticles of Harmony,6,"Primogems x 20
Mora x 26,500"
Fontaine,Our Purpose Is in Another Canal,4,"Primogem x 30
Hero's Wit x 2
Mora x 32,500
Lumitoile x 3"
Fontaine,Road to the Singularity,24,"Adventure EXP x400
Primogems x50
Hero's Wit x5
Mystic Enhancement Ore x3
Mora x 30,000"
Fontaine,"Seymour's Story: PrologueLimner, Dreamer, and Robotic Dog Quest",0,No rewards found
Fontaine,"Strange Stone ChronicleLimner, Dreamer, and Robotic Dog Quest",9,No rewards found
Fontaine,The Fountain Flows AgainAs Light Rain Falls Without Reason,4,"Hero's Wit x 3
Mora x 21,500"
Fontaine,The Lone Phantom SailA Brush Of Seafoam and Crimson,7,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 30,000"
Fontaine,"The Three Primary Colors of the Solar CoronaLimner, Dreamer, and Robotic Dog Quest",3,"Primogems x20
Mora x26,500
Varunada Lazurite Fragment x2
Strange Part x1"
Fontaine,Treacherous Light of the Depths,23,"Adventure EXP x300
Primogems x40
Hero's Wit x2
Mystic Enhancement Ore x3
Mora x30,000"
Fontaine,Truly Mouthwatering,5,"Adventure EXP x 200
Primogems x 30
Mora x 15,000
Hero's Wit x 2"
Fontaine,Upon a Flowery Field of Grass,6,"Primogems x30
Hero's Wit x2
Mora x17,000
Recipe: Tasses Ragout x1"
Fontaine,Villains,22,"Adventure EXP x350
Primogems x40
Hero's Wit x5
Mystic Enhancement Ore x5
Pure Water (Crafting Blueprint) x1
Paimon's Food Fund x1"
Fontaine,"Were It So EasyLimner, Dreamer, and Robotic Dog",7,"Primogems x 20
Mora x 11,000
Strange Part x 1
Primogems x 20
Mora x 26,500"
Fontaine,Where His Life LiesCanticles of Harmony,4,"Adventure EXP x 150
Hero's Wit x 3
Mora x 20,000"
Fontaine,A Brush Of Seafoam and Crimson,9,"Primogems x 50
Hero's Wit x 4
Mystic Enhancement Ore x 6
Mora x 30,000"
Fontaine,A Fontainian Message,4,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 15,000"
Fontaine,A Gradient Dream and Ocre QuestA Brush Of Seafoam and Crimson,8,"Primogems x 60
Hero's Wit x 5
Mystic Enhancement Ore x 6
Mora x 55,000"
Fontaine,An Expected Lie,7,"Primogem x 40
Hero's Wit x 2
Mora x 33,000
Mystic Enhancement Ore x 3"
Fontaine,An Expected Plan,17,"Primogem x 40
Hero's Wit x 2
Mora x 33,000
Mystic Enhancement Ore x 3"
Fontaine,Ancient Colors,13,"Ann Of The Narzissenkreuz Quest Series Guide
How To Unlock The Narzissenkreuz Ordo"
Fontaine,Ann Of The Narzissenkreuz,23,"All Cryo Characters List
All Dendro Character List
All Pyro Characters List"
Fontaine,Berrypuff The Blubberbeast,5,No rewards found
Fontaine,Book of Esoteric RevelationsA Brush Of Seafoam and Crimson,8,"Primogems x 50
Hero's Wit x 4
Mystic Enhancement Ore x 6
Mora x 34,000"
Fontaine,Fontaine Research Institute Chronicles Quest Chain,30,"Adventure EXP x 500
Primogems x 60
Hero's Wit x 5
Mystic Enhancement Ore x 6
Mora x 50,000
Honorary Senior Researcher Award (Furnishing) x1"
Fontaine,For Yesterday And TomorrowCanticles of Harmony,2,"Primogems x 20
Mora x 11,000"
Fontaine,Free Verse,17,"Primogems x 40
Hero's Wit x 2
Mystic Enhancement Ore x 3
Mora x 33,000"
Fontaine,Good Stuff But Terrible Taste,6,"Adventure EXP x 600
Primogems x 20
Mora x 25,000"
Fontaine,Happy Birthday,3,No rewards found
Fontaine,Impromptu Poem Of The Crimson Dawn,6,"Primogems x 30
Mora x 37,000"
Fontaine,In Expert Company?,3,"Hero's Wit x 3
Mora x 21,500
Hero's Wit x 3
Mora x 31,500
Poisson Seafood Soup x 1"
Fontaine,In the Wake Of NarcissusUnfinished ComedyAnn Of The NarzissenkreuzAncient Colors,38,"Primogems x 60
Hero's Wit x 5
Mystic Enhancement Ore x 6
Mora x 55,000
Primogems x 50
Hero's Wit x 5
Mystic Enhancement Ore x 4
Mora x 54,500
Primogems x 30
Mora x 37,500
Primogems x 30
Hero's Wit x 2
Mora x 32,500"
Fontaine,Initial FactsUnfinished Comedy Quest Chain,2,"Adventurer's Experience x4
Mora x 10,000"
Fontaine,Leroy,6,No rewards found
Fontaine,"Limner, Dreamer, and Robotic Dog",6,"Primogems x50
Hero's Wit x5
Mora x54,500
Mystic Enhancement Ore x4
Mamere's Painting x1"
Fontaine,Questioning Melusine and Answering Machine,52,No rewards found
Fontaine,Rowboat's Wake,7,"Primogems x 30
Hero's Wit x 2
Mora x 32,500"
Fontaine,Savior's Wake,9,"Primogems x 50
Hero's Wit x 5
Mystic Enhancement Ore x 4
Mora x 54,500"
Fontaine,Scene from Life in MeropideUnfinished Comedy,38,"Primogems x 30
Credit Coupons x280
Mora x 32,000"
Fontaine,Search in the Algae SeaUnfinished ComedyAnn Of The NarzissenkreuzAncient Colors,15,"Primogems x 60
Hero's Wit x 5
Mystic Enhancement Ore x 6
Mora x 55,000"
Fontaine,The Wild Fairy of Erinnyes,31,"Adventure EXP x 350
Primogems x 30
Hero's Wit x 2
Mora x 30,000"
Fontaine,Through The Looking GlassLooking Glass,3,"Adventure EXP x 300
Primogems x 40
Hero's Wit x 2
Mystic Enhancement Ore x 3
Mora x 30,000"
Fontaine,Unfinished Comedy Quest Chain,26,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 30,000"
Fontaine,Waking From The Great Dream,3,"Primogems x 30
Mora x 37,500"
Fontaine,Wish-Fulfilling Treasure Hunt,6,"Adventure EXP x 200
Primogems x 30
Mora x 35,000"
Sumeru,A Short Encounter with a Rare Bird,11,"Adventure EXP x 250
Primogems x 30
Hero's Wit x 3
Mora x 30,000"
Sumeru,Adventure Takes Courage!Through Mists Of Smoke And Forests Dark,2,"Adventure EXP x 100
Mora x 10,000
Adventurer's Experience x 3"
Sumeru,Afratu's Dilemma,19,"Adventure EXP x 400
Primogems x 50
Hero's Wit x 4
Mystic Enhancement Ore x 4
Mora x 40,000
Sumeru Reputation Points x 20"
Sumeru,Agnihotra SutraThe World Of Aranara,1,No rewards found
Sumeru,An Unwavering Culinary DreamThe World Of Aranara,2,No rewards found
Sumeru,AranyakaThrough Mists Of Smoke And Forests Dark,4,No rewards found
Sumeru,Blooming SandsAct IV King Deshret and the Three Magi,5,"Adventure EXP x 150
Hero's Wit x 3
Mora x 20,000
Sumeru Reputation Points x 20"
Sumeru,Cost-Effective Hook,11,"Adventure EXP x 150
Hero's Wit x 3
Mora x 21500
Sumeru Reputation EXP x 20"
Sumeru,Courage is in the Heart,8,"Adventure EXP x 200
Primogems x 30
Mora x 20,000
Hero's Wit x 2"
Sumeru,Dreams Beneath The Searing SandThe Secret of Al-Ahmar,19,"Primogems x 50
Hero's Wit x 5
Adventure EXP x 450
Mora x 40,000
Mystic Enhancement Ore x 5"
Sumeru,<img src='https://img.gamewith.net/img/765d2d5d523a1884b419b85d9f815c66.png' alt='Chapter 3 Act 3' />Chapter 3 Act 3The Morn A Thousand Roses Brings,25,"Adventure EXP x 775
Primogems x 30
Hero's Wit x 3
Mystic Enhancement Ore x 5
Mora x 31,175"
Sumeru,Dual EvidenceGolden Slumber,24,"Adventure EXP x 500
Primogems x 60
Hero's Wit x 4
Mora x 40,000
Mystic Enhancement Ore x 4"
Sumeru,Even Beasts Stumble,4,"Adventure EXP x 150
Hero's Wit x 3
Mora x 20,000
Sumeru Reputation Points x 20"
Sumeru,For a Dream I Tarry,4,"Adventure EXP x 150
Hero's Wit x 3
Mora x 20,000"
Sumeru,Garcia's Paean: A Gift of CompatibilityArchon Quest Chapter I: Act I - Of the Land Amidst Monoliths.Garcia's Paean,3,No rewards found
Sumeru,Gourmet Supremos: Within Our Dutiesachievements,7,No rewards found
Sumeru,"<img src='https://img.gamewith.net/img/d7c2fae27d762b2238f665edf5eecea9.png' alt='Chapter 3 Act 4' />Chapter 3 Act 4Dreams, Emptiness, Deception",39,"Memory of Flourishing Green x 1
Adventure EXP x 1000
Primogems x 30
Hero's Wit x 4
Mystic Enhancement Ore x 7
Mora x 40,250"
Sumeru,Lupus Aureus Chapter Act 1Act IV King Deshret and the Three Magi,34,"Primogems x 60
Hero's Wit  4
The General Mahamatra on Duty (Furnishing)
Adventurer's EXP x 625
Mora x 38,100
Mystic Enhancement Ore x 8
Guide To Admonition x 5"
Sumeru,Memory's Final Chapter,2,"Adventure EXP x 100
Primogems x 20
Mora x 10,000
Sumeru Reputation EXP x 20"
Sumeru,Purbiruni's Commandment,7,"Hero's Wit x 3
Mora x 21,500"
Sumeru,"Static Views, Part II",4,No rewards found
Sumeru,The Hymn Of Tir YazadKhvarena Of Good And Evil SeriesLightcall Resonance,15,"Adventure EXP x 500
Primogems x 60
Mora x 50,000
Hero's Wit x 5
Mystic Enhancement Ore x 6"
Sumeru,Until Vana is Healed,17,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 4
Mora x 30,000"
Sumeru,"A Delicacy For NaraCooking, The Flavor of Nature",3,"Adventure EXP x 300
Primogems x 40
Hero's Wit x 3
Mora x 30000"
Sumeru,A Gifted Rose: Ballad of Days Gone ByA Gifted Rose: Can Stones Bloom,5,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000
Delicious Butter Chicken x 1
Delicious Shawarma Wrap x 2
Glabrous Beans x 2"
Sumeru,A Gifted Rose: Can Stones BloomA Gifted Rose: Long Day Ahead,5,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000
Delicious Tahchin x 2
Delicious Shawarma Wrap x 2
Glabrous Beans x 2"
Sumeru,A Gifted Rose: Long Day AheadA Gifted Rose: Prickly as Thorns,5,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000
Delicious Tahchin x 2
Delicious Shawarma Wrap x 2
Glabrous Beans x 2"
Sumeru,A Gifted Rose: Prickly as ThornsThe Exile: Blooming,5,"Harra Fruit Seed x 2
Zaytun Peach Seed x 2
Sumeru Rose Seed x 2
Adventure EXP x 350
Primogems x 40
Hero's Wit x 4
Mora x 40,000
Delicious Tahchin x 2
Delicious Shawarma Wrap x 2
Glabrous Beans x 2"
Sumeru,A Gifted Rose: Some People Never Fade AwayA Gifted Rose: Ballad of Days Gone By,5,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000
Delicious Butter Chicken x 1
Delicious Shawarma Wrap x 2
Glabrous Beans x 2"
Sumeru,A Prayer For Rain On The Fecund LandSlumbering RootsIrate Iron ChunkMemory of Stone,3,"Primogems x 50
Adventure EXP x 400
Hero's Wit x 4
Mora x 40,000
Mystic Enhancement Ore x 4
Stories of You And The Aranara x1"
Sumeru,An Artist AdriftKhvarena Of Good And Evil,7,No rewards found
Sumeru,An Introduction To Indoor ArchaelogyLost In the Sands,11,"Primogems x 40
Hero's Wit x 3
Adventure EXP x 350"
Sumeru,Apocalypse Lost: Memories Of Gurabad,5,"Adventure EXP x 300
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 3
Mora x 20,000"
Sumeru,Aragaru's DrawingAranyaka Quest Line,6,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000"
Sumeru,Aranaga's MemoryAranyaka Quest Chain,6,"Adventurer EXP x 250
Primogems x 30
Mora x 30,000
Hero's Wit x 3"
Sumeru,Aranakin's Old FriendAranyaka Quest Line,9,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000"
Sumeru,As The Khvarena's Light ShowsKhvarena Of Good And Evil SeriesAsipattravana ItihasaAwakening's Real Sound,37,"Adventure EXP x 500
Primogems x 60
Mora x 50,000
Hero's Wit x 5
Mystic Enhancement Ore x 6
Primogems x 20
Adventure EXP x 100
Mora x 10,000
Vyakarana of the Birds
Behold My Righteous Strike!
Trial of Haft-Vadi"
Sumeru,Asipattravana ItihasaKhvarena Of Good And Evil Series,13,"Adventure EXP x 350
Primogems x 40
Mora x 25,000
Hero's Wit x 3
Mystic Enhancement Ore x 6"
Sumeru,Awakening's Real SoundKhvarena Of Good And Evil SeriesAsipattravana Itihasa,10,"Adventure EXP x 400
Primogems x 50
Hero's Wit x 4
Mystic Enhancement Ore x 6
Mora x 30,000"
Sumeru,"Behold, The Sign Comes Like A ThiefApocalypse Lost",6,"Primogems x 30
Hero's Wit x 3
Mora x 27,500"
Sumeru,Children of the ForestWorld Of Aranara,5,Primogems x 20
Sumeru,"Cooking, a Pleasant MemoryCooking, The Flavor of Nature",4,"Primogems x 20
Adventure Experience x 150
Mora 20,000
Selva Salad x 1"
Sumeru,"Cooking, The Aroma of HomecomingCooking, The Flavor of Nature",4,"Adventure Experience x 200
Primogems x 30
Hero's Wit x 2
Masala Cheese Balls x 1
Mora x 20,000"
Sumeru,"Cooking, the Beauty of SharingCooking, The Flavor of Nature",5,"Primogems x 30
Adventure Experience x 200
Mora 20,000
Hero's Wit x 2"
Sumeru,"Cooking, The Flavor of NatureWorld Of Aranara",5,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Recipe: Mushroom Hodgepodge"
Sumeru,Delicious RiddleFestival Utsava,4,"Araesha's Flower x 1
Primogem x 20
Adventure EXP x 150
Mora x 20,000"
Sumeru,Desert's RemembranceDual Evidence,13,"Adventure EXP x 300
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 3
Mora x 20,000"
Sumeru,Dune-Entombed Fecundity,37,"Primogems x 50
Mora x 54,500
Hero's Wit x 5
Mystic Enhancement Ore x 4
Primogem x 50
Hero's Wit x 3
Mora x 44,000
Mystic Enhancement Ore x 6"
Sumeru,Encounter in the WoodsWorld Of Aranara,3,No rewards found
Sumeru,Festival UtsavaFor A Better Reunion,3,"Primogem x 30
Hero's Wit x 3
Adventure EXP x 250
Mora x 25,0000"
Sumeru,For A Better ReunionChildren of the Forest,3,"Primogems x 20
Adventure EXP x 150
Mora x 20,000"
Sumeru,"For Fruits, Seeds, and TreesFestival Utsava",17,"Primogems x 40
Hero's Wit x 3
Adventure Experience x 350
Mora 30,000
Mystic Enhancement Ore x 5"
Sumeru,For Her Judgement Reaches To The Skies,7,"Primogems x 50
Hero's Wit x 3
Mora x 34,000
Mystic Enhancement Ore x6"
Sumeru,For The Children of the Past,12,"Primogems x 60
Hero's Wit x 5
Adventure EXP x 500
Mora x 50,000
Mystic Enhancement Ore x 6"
Sumeru,Garden FairiesFestival Utsava,3,"Aralila and Aranishat's Flowers x 1
Primogem x 20
Adventure EXP x 150
Mora x 20,000"
Sumeru,Golden SlumberSlumbering Roots,21,"Sacred Seal Uses & Locations Guide
Primal Obelisk Locations & How To Activate"
Sumeru,Heart Of AmritaKhvarena Of Good And Evil,1,"Adventurer's Experience x 4
Mora x 10,000"
Sumeru,"Hello, Thank You, and the Final GoodbyeFor The Children of the Past",3,"Garland x 1
Primogems x 20
Stories of You and the Aranara x 1
Adventure EXP x 400
Mora x 10,000"
Sumeru,Her Foes Rage Like Great Waters...Apocalypse Lost: Memories Of Gurabad Quest,7,"Behold, The Sign Comes Like A Thief
Make Bright The Arrows, Gather The Shields
For Her Judgement Reaches To The Skies
Primogems x 30
Hero's Wit x 3
Mora x 27,500
Primogems x 40
Hero's Wit x 3
Mora x 23,000
Primogems x 50
Hero's Wit x 3
Mora x 34,000
Mystic Enhancement Ore x6"
Sumeru,Hidden MercenariesDual Evidence,11,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 3
Mora x 40,000"
Sumeru,Into the WoodsThe Children Of Vimara Village,8,"Primogems x 50
Hero's Wit x 4
Adventure Experience x 400
Mora x 40,000
Mystic Enhancement Ore x 4"
Sumeru,Invisible BarrierDual Evidence,7,"Adventure EXP x 300
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 3
Mora x 20,000"
Sumeru,Irate Iron ChunkVaruna Gatha,7,"Primogem x 40
Hero's Wit x 3
Adventure Exp x 350
Mora x 30,000
Mystic Enhancement Ore x 4"
Sumeru,Join the Eremites and Embrace a Wonderful New Life!Act IV King Deshret and the Three Magi,6,"Adventure EXP x 150
Hero's Wit x 3
Mora x 20,000
Sumeru Reputation Points x 20"
Sumeru,Khvarena Of Good And Evil,37,No rewards found
Sumeru,Lightcall ResonanceKhvarena Of Good And Evil,13,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 15,000"
Sumeru,Lost in the Sands,21,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 30,000"
Sumeru,"Make Bright The Arrows, Gather The Shields",6,"Primogems x 40
Hero's Wit x 3
Mora x 23,000"
Sumeru,Memory Of StoneVaruna Gatha,7,"Adventure Experience x 300
Primogems x 40
Hero's Wit x 3
Mora x 30,000"
Sumeru,Monumental Study,6,No rewards found
Sumeru,"Next Time, On King of Invokations…Akasha Pulses, The Kalpa Flame Rises",4,"Adventure EXP x 150
Mora x 20,000
Primogems x 20"
Sumeru,Old Notes and New FriendsDual Evidence,3,"Sacred Seal Locations
Primal Obelisk Locations"
Sumeru,"Outside The Canvas, Inside The Lens: Greenery ChapterSnapshots",5,"Primogems
Mora
Mystic Enhancement Ores"
Sumeru,Pale FireKhvarena Of Good And EvilFravashi Tree,2,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 30,000"
Sumeru,Recollections Of A Fontainian,3,"Adventure EXP x 150
Mora x 20,000
Adventurer's Experience x 4"
Sumeru,"Rejoice With Me, For What Was Lost Is Now FoundThe Dirge Of Bilqis Quest Line",11,"Primogems x 30
Hero's Wit x 3
Mora x 27,500"
Sumeru,Risen Moon ChapterStarry Night Chapter,14,"Barsam Flower x 1
Primogems x 40
Adventurer's Experience x 300
Hero's Wit x 3
Mora x 30,000"
Sumeru,"Rishboland Tiger, roaaarFestival Utsava",3,"The Sibling's Flowers x 1
Primogem x 20
Adventure EXP x 150
Mora x 20,000"
Sumeru,Royinian's Chapter: LingaVimana Agama: Royinian's Chapter,14,"Primogems x 30
Adventurer's Experience x 250
Hero's Wit x 3
Mora x 30,000"
Sumeru,Royinian's Chapter: YoniVimana Agama: Royinian's Chapter,6,"Primogems x 30
Adventurer's Experience x 250
Hero's Wit x 3
Mora x 30,000
Amiti Device Fragment (III) x 1"
Sumeru,Slumbering RootsVaruna Gatha,9,"Primogems x 30
Adventure EXP x 250
Hero's Wit x 3
Mora x 30000"
Sumeru,Soheil's WishDual Evidence,0,"Primogems x 20
Mora x 11,000
Sumeru Reputation Points x 20"
Sumeru,Sprouting SeedlingsVaruna Gatha,3,"Adventure Experience x 100
Primogems x 20
Mora x 10,000"
Sumeru,Starry Night ChapterWorld Of Aranara,13,"Primogems x 40
Hero's Wit x3
Adventure's EXP x300
Mora x30,000"
Sumeru,Static ViewsWorld Of Aranara,3,No rewards found
Sumeru,Tadhla the FalconThe Dirge of Bilqis,5,"Adventure EXP x 200
Primogems x 40
Hero's Wit x 2
Mora x 20,000"
Sumeru,Taste of HappinessFestival Utsava,3,"The Sibling's Flowers x 1
Primogem x 20
Adventure EXP x 150
Mora x 20,000"
Sumeru,Tester Became The Tested,3,No rewards found
Sumeru,The Children of Vimara Village,8,"Adventure EXP x 250
Primogem x 30
Hero's Wit x 3
Mora x 25,000"
Sumeru,The Dirge Of BilqisGolden Slumber Series Quest,52,No rewards found
Sumeru,"The Eternal Dream, Ever LushThe Dirge Of Bilqis",8,"Primogems x 20
Mora x 26,500"
Sumeru,The Exile: BloomingThe Exile: Sprouting,5,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000
Delicious Butter Chicken x 1
Sumeru Rose x 1"
Sumeru,The Exile: Sprouting,5,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000"
Sumeru,The Falcon's HuntTadhla The Falcon,13,"Adventure EXP x 350
Primogems x 40
Mystic Enhancement Ore x 3
Hero's Wit x 3
Mora x 40,000"
Sumeru,The Fallen FalconThe Falcon's Hunt,3,"Adventure EXP x 250
Primogems x 30
Hero's Wit x 3
Mora x 25,000"
