Region,Quest Name,Steps to Complete,Rewards
Sumeru,The Final ChapterRisen Moon Chapter,15,"Stories of You and the Aranara x 1
Primogems x 50
Adventurer's Experience x 400
Hero's Wit x 4
Mora x 40,000
Mystic Enhancement Ore x 4"
Sumeru,The Foolish Fatuus,17,"Primogems x 50
Hero's Wit x 4
Adventure EXP x 400
Mora x 40,000
Mystic Enhancement Ore x 4"
Sumeru,The Lost ChildThe Children Of Vimara Village World Quest,7,"Adventure Experience x 400
Primogems x 50
Hero's Wit x 4"
Sumeru,The Path of Papers,5,"Adventure EXP x 150
Hero's Wit x 3
Mora x 20,000"
Sumeru,The Price,8,"Adventure EXP x 150
Hero's Wit x 3
Mora x 20,000
Sumeru Reputation Points x 20"
Sumeru,The Rhythm that Leads to the Gloomy PathEncounter in the Woods,15,"Adventure EXP x 350
Primogem x 40
Hero's Wit x 3
Mora x 30,000
Mystic Enhancement Ore x 4
Vasoma Fruit x 1"
Sumeru,The Rhythm that Nurtures the SproutEncounter in the Woods,18,"Adventure EXP x 350
Primogem x 40
Hero's Wit x 3
Mora x 30,000
Mystic Enhancement Ore x 4"
Sumeru,The Rhythm that Reveals the Beastly TrailEncounter in the Woods,23,"Primogem x 60
Hero's Wit x 3
Adventure Experience x 450
Mora x 40,000
Mystic Enhancement Ore x 4
Vasoma Fruit x 1"
Sumeru,The Secret Of Al-AhmarAn Introduction To Indoor Archaeology,15,"Primogems x 60
Hero's Wit x 5
Adventure EXP x 500
Mora x 50,000
Mystic Enhancement Ore x 5"
Sumeru,The Splendorous Sky That DayKhvarena Of Good And Evil Series,8,"Adventure EXP x 250
Primogems x 30
Hero's Wit x 3
Mora x 25,000"
Sumeru,The World Of AranaraThe Lost Child Quest,13,"Adventure Experience x 400
Stories of You and the Aranara x 1
Hero's Wit x 4
Precious Chest x 1"
Sumeru,Treasure of Wisdom: A New Plan,4,"Adventure EXP x 100
Mora x 15,000
Adventurer's Experience x 4"
Sumeru,Trees and Dreams,3,Primogems x 20
Sumeru,Varuna GathaThe World Of Aranara,6,"Primogems x 40
Adventure EXP x 300
Hero's Wit x 3
Mora x 30,000"
Sumeru,Vimana Agama: Dev Delver ChapterVimana Agama: Jazari's Chapter,12,"Primogems x 40
Stories of You and the Aranara x 1
Adventurer's Experience x 300
Hero's Wit x 3
Mora x 30,000"
Sumeru,Vimana Agama: Jazari's ChapterVimana Agama: Royinian's Chapter,12,"Primogems x 40
Adventurer's Experience x 350
Hero's Wit x 3
Mora x 30,000
Mystic Enhancement Ore x 4"
Sumeru,Vimana Agama: Royinian's ChapterWorld Of Aranara,13,"Primogems x 40
Adventurer's Experience x 200
Hero's Wit x 3
Mora x 30,000"
Sumeru,Vimana AgamaThe World Of Aranara,4,No rewards found
Sumeru,Where Are the Fierce Creatures?,0,"Adventure EXP x 300
Primogems x 40
Hero's Wit x 3
Mora x 30,000
Sumeru Reputation EXP x 20"
Sumeru,While the Dream Lingers,5,"Adventure EXP x 150
Hero's Wit x3
Mora x20,000"
Inazuma,Battle Of Revenge,7,"Primogems x 10
Adventure EXP x 250
- Mora- Companion EXP- Fine Enhancement Ore"
Inazuma,Chisato's Letter,4,No rewards found
Inazuma,Clean House,5,"Primogems x 30
Hero's Wit x 2"
Inazuma,Collections Of Dragons And Snakes,3,"Primogems x 20
Adventure EXP x 150
Mora x 25,000"
Inazuma,Divine Plant of the Depths,7,No rewards found
Inazuma,Dreams Of Sword Art,17,"Adventurer's Exp x 300 EXP
Primogems x 40- Hero's Wit x 4- Mora x 30000"
Inazuma,Fate Of A Fighter,7,No rewards found
Inazuma,Fertilizer... Salesperson?,8,"Adventurer's Exp x 100 EXP
- Hero's Wit x5- Mora x20000"
Inazuma,Gazing Three Thousand Miles Away,12,"Adventure Exp x 200 EXP
Other Rewards x - Imported Poultry Recipe x 1- Primogems x 30- Hero's Wit x 2- Mora x 20000"
Inazuma,"Gourmet Supremos, Assemble!",3,No rewards found
Inazuma,Gourmet Supremos: The Importance of Eating WellBreakthrough Thinking (The Gourmet Supremos),5,"Adventure EXP x 100
- Hero's Wit- Recipe: Sashimi Platter"
Inazuma,Heart Of Watatsumi Island,6,No rewards found
Inazuma,Hiromi's Watch,12,No rewards found
Inazuma,Home Lies Over The Ocean,3,No rewards found
Inazuma,In Another LandChisato's Letter,5,No rewards found
Inazuma,International Travel Log,12,No rewards found
Inazuma,Katheryne in Inazuma,3,"Mora x15,000
Adventurer's Experience x5
Adventure EXP x100"
Inazuma,Lotus Eater,9,"Adventure EXP x 200
Primogemx x 30
Hero's Wit x 3
Dragonbone Orb x 1"
Inazuma,"O Archon, Have I Done Right?O Shrine, Show Your Power Once Again!",5,No rewards found
Inazuma,Orobashi's Legacy,5,No rewards found
Inazuma,Relics of Seirai,10,No rewards found
Inazuma,Reminiscence Of Seirai,4,"Adventurer's Exp x 300 EXP
Mystic Enhancement Ore x6  Hero's Wit x2  Primogems x30  Mora x15000"
Inazuma,Sacred Sakura Cleansing Ritual,12,No rewards found
Inazuma,Sakura Arborism,6,"Adventurer's Exp x 500 EXP
Mystic Enhancement Ore x6  Hero's Wit x4  Primogems x60"
Inazuma,Seirai Stormchasers,10,"Adventure EXP x 300
Primogems x 40
Hero's Wit x 4
Mora x 30,000
Adventure EXP x 250
Primogems x 30
Hero's Wit x 4
Mora x 25,000
Adventure EXP x 300
Primogems x 40
Hero's Wit x 4
Adventure EXP x 350
Primogems x 40
Hero's Wit x 2"
Inazuma,Solitary Sea-Beast,9,"Adventurer's Exp x 300 EXP
- Hero's Wit x4- Primogems x40- Mora x30000"
Inazuma,Storytelling Method,6,"Adventurer's EXP x 100 EXP
Mora x30000   Hero's Wit x4"
Inazuma,Tatara Tales,13,"Adventure Exp x 400 EXP
- Primogems x 50- Hero's Wit x 4  Mora x 40,000  Mystic Enhancement Ore x 4
Adventure Exp x 400 EXP
- Primogems x 50- Mora x 25,000
Adventure Exp x 150 EXP
- Primogems x 20- Mora x 25,000"
Inazuma,The Art Of Horticulture,2,No rewards found
Inazuma,The Farmer's TreasureChisato's Letter,9,"Weapon Forging Blueprint x <img src='https://img.gamewith.net/article_tools/genshin-impact/gacha/29139_w.png' alt='Amenoma Kageuchi' />Amenoma Kageuchi
Other Rewards x <img src='https://img.gamewith.net/article_tools/genshin-impact/gacha/s_i_261.png' alt='Northlander Sword Billet' />Northlander Sword Billet  Primogems x 60"
Inazuma,The Gourment Supremos: On The Road,4,No rewards found
Inazuma,The Moon-Bathed Deep,6,No rewards found
Inazuma,The Narukami Trail,6,"Adventurer's Exp x 100 EXP
- Hero's Wit x 5- Mora x 20000"
Inazuma,The Phaethons' Syrtos,6,"Adventurer's Exp x 250 EXP
Hero's Wit x3  Primogems x30  Mora x30,000"
Inazuma,The Ritou Road,5,"Adventurer's Exp x 100 EXP
Mora x 20000 Adventure's Experience x5 Unlocks Secret Path"
Inazuma,The Saga Of Mr. ForgetfulThe Sea of Fog and the Rite of the Trees,3,"Adventurer's Exp x 300 EXP
Replica Mural: Lone Peak In A Sea Of Fog x 1  Replica Mural: Ancient Ritual In A Sea Of Fog x1  Mora x 20,000  Primogems x20"
Inazuma,The Seventh SamuraiTatara Tales,5,"Adventurer's Exp x - 200 EXP
- Hero's Wit x 2- Primogems x 30- Mora x 20000"
Inazuma,The Still Water's FlowOmnipresence Over Mortals,7,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2"
Inazuma,The Subterranean Trials Of Drake And SerpentYachimatahiko's TrialYachimatahime's TrialKunado's TrialThe Three Great Martial Trials,18,"Primogems x 40
Hero's Wit x 4
Adventure EXP x 300
Mora x 30,000"
Inazuma,The Sun-Wheel And Mt. Kanna,27,"Adventurer's Exp x 250 EXP
- Mystic Enhancement Ore x 6- Hero's Wit x 3- Primogems x 40- Mora x 6,575"
Inazuma,Treatment On The Island,5,No rewards found
Inazuma,Yae Publishing House's Invitation,3,No rewards found
Inazuma,A Glimpse Into The Pale Night,5,"<img src='https://img.gamewith.net/article/thumbnail/rectangle/47774.png' alt='Dodoco's Boom-Bastic Escapades Event Guide' />Dodoco's Boom-Bastic Escapades 2024/09/09 – 2024/09/23 x Help Dodoco to place bombs and remove the Spikey FIsh away.
<img src='https://img.gamewith.net/article/thumbnail/rectangle/47777.png' alt='Of Thorns And Crowns Event Guide' />Of Thorns And Crowns 2024/09/20 – 2024/09/30 x A combat event. Play the trial to get buffs for the challenge."
Inazuma,A Particularly Particular Author,9,"Adventurer's Exp x 500 EXP
Mystic Enhancement Ore x4  Hero's Wit x4  Primogems x50  Mora x 50,000"
Inazuma,A Strange Story In Konda,11,"Adventurer's Exp x 350 EXP
Mora x 20,000  Primogems x40"
Inazuma,Antigonus,8,"Primogem x 40
Hero's Wit x 4
Adventure EXP x 300
Mora x 30,000"
Inazuma,Cleansing DefilementSacrificial Offering World Quest,8,No rewards found
Inazuma,Crossing Unknown Storm Clouds,1,No rewards found
Inazuma,Date's ChallengeCollections Of Dragons And Snakes,10,"Adventure EXP x 200 EXP
Hero's Wit x 2  Primogems x 30"
Inazuma,Dreams In The Gaps,5,No rewards found
Inazuma,Entrance To Tokoyo,7,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000"
Inazuma,Erebos' Secret,3,No rewards found
Inazuma,Film NotesTatara Tales,19,"Primogems x 30
Hero's Wit x  2
Adventure EXP x 200
Mora x 20,0000
Primogems x 40
Hero's Wit x  3
Adventure EXP x 300
Mora x 20,000
Mystic Enhancement Ore x 3"
Inazuma,From Dusk To Dawn In ByakuyakokuThe Entrance To Tokoyo,3,No rewards found
Inazuma,Gourmet Supremos: Of Shrines And Sakura,2,"Adventurer's Exp x 100 EXP
Mora x 10000 Primogems x20"
Inazuma,Hayashi Of Tanuki In The Forest,7,"Adventurer's Exp x 250 EXP
Hero's Wit x3  Primogems x40  Mora x 30,000"
Inazuma,Hyperion's Dirge,4,"Adventurer's Exp x 250 EXP
Hero's Wit x3  Primogems x40"
Inazuma,Kunado's Trial,5,No rewards found
Inazuma,Narrow InquiryKey Sigil,3,"Adventure EXP x 30 EXP
Primogems x10  Offerings Of The Narrows x1"
Inazuma,Neko Is A Cat: A Fishy Flavor,3,No rewards found
Inazuma,Neko Is A Cat: A Good Turn Comes Late,2,"Adventurer's Exp x 100 EXP
Hero's Wit x2 Primogems x20  Mora x 20,000"
Inazuma,Neko Is A Cat: Cat And Stone,4,"Adventurer's Exp x 150 EXP
Primogems x20  Mora x 10,000  Invigorating Kitty Meal Recipe"
Inazuma,Neko Is A Cat: Ding-A-Ling Metal Ball,3,No rewards found
Inazuma,Neko Is A Cat: Offering Box,3,"Adventurer's Exp x 300 EXP
Primogems x20  Mora x 10000"
Inazuma,Neko Is A Cat: Shrine Canteen,3,No rewards found
Inazuma,Neko Is A Cat: Shrine Recipe,8,"Adventurer's Exp x 200 EXP
Primogems x20  Mora x 10,000  Invigorating Kitty Meal Recipe"
Inazuma,Neko Is A Cat: Stone Human's Troubles,4,"Adventurer's Exp x 100 EXP
Primogems x20  Mora x 10,000"
Inazuma,Neko Is A Cat: The Cat's Trail,3,No rewards found
Inazuma,Neko Is A Cat: The Children,4,"Adventurer's Exp x 200 EXP
Hero's Wit x2  Primogems x30  Mora x 15000"
Inazuma,Neko Is A Cat: Wooden Shelf,6,"Adventurer's Exp x 200 EXP
Primogems x40  Mora x10,000"
Inazuma,Octave Of The Maushiro,23,"Adventurer's Exp x 500 EXP
Primogems x 50Hero's Wit x 5Mora x 50,000Mystic Enhancement Ore x 4"
Inazuma,Outlander Brigade!Tatara Tales,0,No rewards found
Inazuma,Pizza From Another Land,3,No rewards found
Inazuma,Sacrificial Offering,12,"Adventurer's Exp x 350 EXP
Mystic Enhancement Ore x6  Hero's Wit x4  Primogems x40  Mora x 30,000"
Inazuma,Serpent's Heart InquiryKey Sigil,3,"Adventure EXP x 30 EXP
Primogems x10  Offerings Of The Serpent's Heart x1"
Inazuma,Shuumatsuban Operations,4,"Special Bamboo Slip
Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 30,000"
Inazuma,Temari Game,3,"Adventure Experience x 150 EXP
Other Rewards x - Primogems x 20- Mora x 25000"
Inazuma,Temple InquiryKey Sigil,3,"Adventure EXP x 30 EXP
Primogems x10  Offerings Of The Temple x1"
Inazuma,The Commission's Commission,1,No rewards found
Inazuma,The Gourment Supremos: The Deep Divers,2,No rewards found
Inazuma,The Gourmet Supremos: Cleanup,8,No rewards found
Inazuma,The Heart Of Ouroboros,4,No rewards found
Inazuma,The Replacement's Secret,10,"Adventure EXP x 250
Primogems x 30
Hero's Wit x
Mystic Enhancement Ore x 6
Mora x 30,000"
Inazuma,The Sea Of Fog And The Rite Of The Trees,9,"Adventurer's Exp x 350 EXP
Primogems x 40Hero's Wit x 3Mora x 30,000Mystic Enhancement Ore x 6"
Inazuma,The Three Great Martial Trials,3,"Primogems x 40
Hero's Wit x 3
Adventure EXP x 350
Mora x 30,000"
Inazuma,The Trails Of Drake And Serpent,11,No rewards found
Inazuma,The Very Special Fortune Slip,10,No rewards found
Inazuma,Where The Dandelions Find Rest,10,"Lyudochka's Fortune Slip x 1
Primogems x 50
Hero's Wit x 3
Adventure EXP x 400
Mora x 30,000
Mystic Enhancement Ore x 6"
Inazuma,Yachimatahiko's Trial,5,No rewards found
Inazuma,Yachimatahime's Trial,4,No rewards found
Inazuma,Yougou Cleansing,9,"Mask of Memories x 1
Primogems x 50
Hero's Wit x 5
Mora x 50,000"
Liyue,A Cliff-Side Hero's Past,7,"Adventure EXP x 250
Primogems x 30
Hero's Wit x 3
Mora x 30,000"
Liyue,A Little Game,3,"Adventurer's Exp x 250
Mora x 20,000
- Primogems x30- Hero's Wit x2- Mystic Enhancement Ore x3"
Liyue,<img src='https://img.gamewith.net/img/e65f5a1bc5b77cf289ec3c5ed59b37b9.png' alt='Chapter 1 Act 3' />Chapter 1 Act 3,15,No rewards found
Liyue,A Quiet Day In Liyue Harbor,9,"Adventurer's Exp x 100
Mora x 50,000
- Hero's Wit x5"
Liyue,An Adeptal Summons,7,"Adventurer's Exp x 100 EXP
Hero's Wit x3Guide to ""Diligence"" x3Mora x20000"
Liyue,An Ode To Yonder City,5,"Adventurer's Exp x 150 EXP
Mora x20,000Teachings of Prosperity x5Teachings of Diligence x5Teachings of Gold x5"
Liyue,And This Treasure Goes To...,3,No rewards found
Liyue,Changchang's Little Friend,3,"Adventurer's Exp x 100 EXP
Hero's Wit x8Fish x10Raw Meat x10Fowl x10"
Liyue,Chili Con Cloudy,7,"Primogems x30
Adventurer's EXP x200
Mora x35,000"
Liyue,Endless Research,5,"Adventurer's Exp x 150 EXP
20,000 MoraTeachings of Gold x5Teachings of Diligence x5Teachings of Prosperity x5"
Liyue,<img src='https://img.gamewith.net/img/c900d286657c8f459a5eeabb60436ab9.png' alt='Chapter 1 Act 2' />Chapter 1 Act 2,30,No rewards found
Liyue,Fishing For Jade,4,"Adventurer's Exp x 300 EXP
Mora x 50,000
Adventure's Experience x5  Hero's Wit x4"
Liyue,Hereafter: All Is Well,3,No rewards found
Liyue,Hereafter: Return to the Mountains,3,Hero's Wit x 3
Liyue,Hereafter: The Trail of Pervases,5,No rewards found
Liyue,Luhua Landscape,6,No rewards found
Liyue,Necessary Procedures,5,"Adventurer's Exp x 150 EXP
Mora x100,000Adventure's Experience x10"
Liyue,Nine Pillars Of Peace,6,No rewards found
Liyue,<img src='https://img.gamewith.net/img/e8a920df2ea46badb263559554ec2e12.png' alt='Chapter 1 Act 1' />Chapter 1 Act 1,29,No rewards found
Liyue,"On the Stage, Behind the Stage",11,"Adventure EXP x 150
Hero's Wit x 3
Mora x 30,000
Pear Orchard Stage: Yun-Han Style x 1"
Liyue,Our Chenyu Vale Trek,5,"Our Chenyu Vale Trek Album
Primogem x 30
Hero's Wit x 2
Mora x 32,500"
Liyue,Paleontological Investigation in The Chasm,3,"Adventure EXP x 200
Primogems x 30
Mora x 50,000"
Liyue,Perfect Shot,2,"Adventurer's Exp x -
<img src='https://img.gamewith.net/article_tools/genshin-impact/gacha/s_i_181.png' alt='Adventurer's Experience' />Adventurer's Experience x 4   <img src='https://img.gamewith.net/article_tools/genshin-impact/gacha/s_i_275.png' alt='Special Kamera' />Special Kamera  Mora x 1000"
Liyue,"Qiaoying, The Village of Many Tales",8,"Hero's Wit x 3
Mora x 21,500"
Liyue,Return Of The Jade ChamberGanyu Story QuestFishing For Jade World Quest,2,"Adventurer's Exp x 150 EXP
Teachings of Gold x2Teachings of Diligence x2Teachings of Prosperity x2Mora x50000"
Liyue,Says He Who Seeks Stone,4,"Adventure EXP x 150
Primogems x 20
Mora x 30,000"
Liyue,Share Not Your Treasures,4,"Adventurer's Exp x 250
Mora x 30,000
- Primogems x30"
Liyue,"Shrouded Vale, Hidden Hero",3,"Primogems x30
Adventurer's EXP x200
Mora x20,000"
Liyue,Snapshots,3,No rewards found
Liyue,"Stolen, by the Rightful Owner",7,No rewards found
Liyue,Surreptitious Seven-Star Seal Sundering,9,No rewards found
Liyue,The Chi Of Yore,12,No rewards found
Liyue,The Dealing Sands,4,"Primogems x30
Adventurer's EXP x200
Mora x35,000"
Liyue,The Millennial Mountains,5,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 30,000"
Liyue,The Missing Miner,3,"Primogem x 30
Hero's Wit x 3
Adventure EXP x 250
Mora x 30,000"
Liyue,The Ocean Pearl,3,No rewards found
Liyue,The Roaming Abode,13,"Primogem x 30
Mora x 37,000"
Liyue,The Secret Of Nantianmen,5,"Adventurer's Exp x 150 EXP
Mora x80,000Hero's Wit x4"
Liyue,The Tree Who Stands Alone,4,"Adventurer's Exp x 400
Mora x -
- Primogems x50- Liyue Shrine Of Depths Key x1"
Liyue,The Yaksha's Wish,2,"Adventurer's Exp x 250
Mora x -
- Primogems x30- Adventure's Experience x6"
Liyue,There's No Restoring This Past Land Of Beauty,2,"Adventurer's Exp x 250
Primogems x 30  Hero's Wit x 3  Mora x 30000  Mystic Enhancement Ore x 6"
Liyue,Threefold Expectations,4,"Primogems x 40
Hero's Wit x 2
Mystic Enhancement Ore x 3
Mora x 33,000"
Liyue,Tianqiu Treasure Trail,6,"Parametric Transformer  x1 Hero's Wit x 3  Mora x 30,000"
Liyue,Trails In Tianqiu,4,No rewards found
Liyue,"Treasure Lost, Treasure Found",9,No rewards found
Liyue,Wherefore Did the Spiritstone Descend?Perils In The Dark,6,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 30,000"
Liyue,Will Of Stone,6,"Adventurer's Exp x 100
Mora x 30,000
- Hero's Wit x7- Qingce Stir Fry x5"
Liyue,Words Worth Their Weight In Mora,3,"Adventurer's Exp x 150 EXP
Mora x15,000Teachings of Gold x4Teachings of Diligence x4Teachings of Prosperity x4"
Liyue,A Company Vanishing Into the Deep,8,"Adventure EXP x 300
Primogems x 40
Mora x 30,000
Hero's Wit x 3
Mystic Enhancement Ore x 3"
Liyue,A Dish Beyond Mortal Ken,7,"Adventurer's Exp x - 100 EXP
- Chicken Tofu Pudding Recipe  - Mora x 20,000"
Liyue,A Visitor From Westward RealmsIdle Teapot Talk,2,"Mora x 10,000
Adventurer's Experience x 4"
Liyue,A Wangshan Walk To Remember,11,"Primogems x30
Adventurer's EXP x200
Mora x35,000"
Liyue,Big Business,5,No rewards found
Liyue,Chasm Spelunkers,7,"Primogems x 30
Hero's Wit x 2"
Liyue,Chenyu's Blessings Of Sunken Jade Quest,47,"Primogem x 30
Mora x 37,000
Primogems x 40
Hero's Wit x 4
Mora x 33,500
Mystic Enhancement Ore x 4
Primogem x 50
Hero's Wit x 5
Mora x 54,500
Mystic Enhancement Ore x 4"
Liyue,Dimming Mushroom's Call for Help,7,"Adventure EXP x 300
Primogems x 40
Mora x 30,000
Hero's Wit x 3
Mystic Enhancement Ore x 3"
Liyue,First Miasmic Contact,4,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000"
Liyue,Garcia's Paean,3,"Adventure EXP x 150
Primogems x 20
Mora x 30,000"
Liyue,Hydrological Investigation in The Chasm,5,"Adventure EXP x 250
Primogems x 30
Mora x 90,000"
Liyue,Idle Teapot Talk,1,Realm Dispatch  Hero's Wit
Liyue,Lost in a Foreign Land: Seeking,8,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 30,000"
Liyue,Lost in a Foreign Land,6,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000"
Liyue,Meeting New People... and Foiling Some Bandits,5,"Adventure EXP x 200
Primogems x 30
Hero's Wit x 2
Mora x 20,000"
Liyue,Mycological Investigation in The Chasm,3,No rewards found
Liyue,Perils in the Dark,10,"Adventure EXP x 450
Primogems x 50
Hero's Wit x 5
Mystic Enhancement Ore x 6
Mora x 50,000"
Liyue,Pressing Deadline,3,"Adventurer's Exp x 100
Mora x 20,000
- Hero's Wit x6- Golden Crab x3"
Liyue,Scrolls And Sword Manuals Of Guhua,6,"Primogems x20
Mora x25000
Adventurer's EXP x150"
Liyue,Silently The Butterfly Cross The Valley,6,"Primogem x 40
Hero's Wit x 4
Mora x 33,500
Mystic Enhancement Ore x 1"
Liyue,Temporary Acclimatization,6,"Hero's Wit x 3
Mora x 21,500"
Liyue,The Adventurer's Guild's AffairsA New Star Approaches,3,"Adventurer's Exp x 200 EXP
Mora x20,000Guide to Gold x2Guide to Diligence x2Guide to Prosperity x2"
Liyue,The Chasm Charters,2,No rewards found
Liyue,The Chasm Delvers,1,No rewards found
Liyue,The Chasm's Bounty,13,"Adventure EXP x 250
Primogems x 30
Hero's Wit x 3
Mora x 30,000"
Liyue,The Cloud-Padded Path To The Chiwang Repose,5,"Primogems x 20
Mora x 11,000"
Liyue,The Heavenly Stone's Debris,14,"Primogems x 40
Hero's Wit x 3"
Liyue,The Tales Behind the Fan,2,No rewards found
Liyue,Undetected Infiltration,3,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 30,000"
Liyue,Valor's Afterglow: Return By Sundown,4,"Adventure EXP x 250
Primogems x 30
Hero's Wit x 3
Mora x 30,000"
Liyue,Valor's Afterglow: The Faint Light Remembered,3,"Adventure EXP x 100
Primogems x 20
Mora x 10,000"
Liyue,Valor's Afterglow,5,"Adventure EXP x 250
Primogems x 30
Hero's Wit x 3
Mora x 30,000"
Mondstadt,A Land Entombed,4,"Adventurer's Exp x 400 EXP
Hero's Wit x3Primogems x50Mora x 40,000Mystic Enhancement Ore x6"
Mondstadt,After The Storm,2,"Adventurer's Exp. x 100
Mora x 20000
<img src='https://s3.ap-northeast-1.amazonaws.com/gamewith/article_tools/genshin/gacha/sozai_142.png' alt='Crystal Chunk' />Crystal Chunk×12"
Mondstadt,Ah Fresh Meat,6,"Tomato x 1
Carrot x 2
Chilled Meat x 2"
Mondstadt,Break The Sword Cemetery Seal,2,"Adventurer's Exp x 400
Mora x -
<img src='https://img.gamewith.jp/img/99e88efdd95d422ded859e5a615742f8.jpg' alt='Primogems' />Primogems ×50<img src='https://s3.ap-northeast-1.amazonaws.com/gamewith/article_tools/genshin/gacha/sozai_82.png' alt='Mystic Enhancement Ore' />Mystic Enhancement Ore<img src='https://img.gamewith.net/img/5da51b985ecc8c89857a05ce97cd7bd6.jpg' alt='Northlander Claymore Prototype' />Northlander Claymore Prototype x1"
Mondstadt,Equivalent Exchange,8,"Adventurer's Exp x 100 EXP
30,000 MoraHero's Wit x 4"
Mondstadt,Flighty Flora... And Flora,2,"Adventurer's Exp x 100
Mora x -
- Hero's Wit x5- Cecilia x5- Small Lamp Grass x5- Windwheel Aster x5"
Mondstadt,In The Aftermath,2,No rewards found
Mondstadt,Lingering Malady,3,"Adventurer's Exp x 100
Mora x 20,000
- Hero's Wit x6- Northern Smoked Chicken x3"
Mondstadt,Lost In The Snow,6,"Adventurer's Exp x 300 EXP
Hero's Wit x2Primogems x40Mora x30,000Mystic Enhancement Ore x4Adventurer's Pocket Watch"
Mondstadt,Mondstadt And Its ArchonCarmen Dei Chapter: Act I (Venti Story),3,"Adventurer's Exp x 100
Mora x 16,000
- Hero's Wit x5- Dandelion Seed x5"
Mondstadt,Question & Answer,3,No rewards found
Mondstadt,The Great Mountain Survery II,5,"Adventurer's Exp x 300 EXP
Hero's Wit x2Primogems x40Mora x20,000
Adventurer's Exp x 300 EXP
Hero's Wit x2Primogems x40Mora x30,000Mystic Enhancement Ore x3"
Mondstadt,Thief Catcher,3,No rewards found
Mondstadt,Time And The Wind,9,No rewards found
Mondstadt,Adventure Rank Ascension 2,1,"Adventurer's Exp x -
Mora x 20,000
- Primogems x100- Acquaint Fate x2
Note x Your World Level increase to 4"
Mondstadt,Adventure Rank Ascension 4,1,"Adventurer's Exp x -
Mora x 40,000
- Primogems x100- Acquaint Fate x2
Note x Your World Level increase to 7"
Mondstadt,Bough Keeper,13,"Adventurer's Exp x 800
- 60 x Primogems- 38,100 Mora- Guide to Freedom- Guide to Resistance- Guide to Ballad- 4 x Hero's Wit- 7 x Mystic Enhancement Ore"
Mondstadt,Busy Adventurers' Guild,1,No rewards found
Mondstadt,Collector Of Anemo Sigils,1,"Adventurer's Exp x -
Mora x -
-"
Mondstadt,Every Day A New Adventure,3,No rewards found
Mondstadt,Exploding Population,7,Hero's Wit x 4
Mondstadt,Lianne's Troubles,1,"Adventurer's Exp x -
Mora x 1428*Rewards may vary depending on required materials
- Companionship EXP x10- Fine Enhancement Ore x1"
Mondstadt,Low Temperature Warning,1,"Adventurer's EXP
Primogems
Mora"
Mondstadt,Scent On The Wind,1,"Adventurer's Exp x -
Mora x 2,500
- Enhancement Ore x5"
Mondstadt,Sharpening The Axe Won't Hinder,2,No rewards found
Mondstadt,Solo Venture,2,No rewards found
Mondstadt,When The Trail Goes Cold,2,"Adventurer's Exp x 300 EXP
Adventure's Experience x4  Mora x 10,000"
Mondstadt,Wisdom Of Ancient Civilizations,1,No rewards found
